100000.0,2024-01-01
55600.7002184391,2024-01-02
52295.47023630142,2024-01-03
50731.00024962425,2024-01-04
50480.980251669884,2024-01-05
50232.50025224686,2024-01-06
50190.900252223015,2024-01-07
50130.83025228977,2024-01-08
50115.22025227547,2024-01-09
50106.49025225639,2024-01-10
50106.49025225639,2024-01-11
50106.49025225639,2024-01-12
50106.49025225639,2024-01-13
50106.49025225639,2024-01-14
50106.49025225639,2024-01-15
50106.49025225639,2024-01-16
50106.49025225639,2024-01-17
50106.49025225639,2024-01-18
50106.49025225639,2024-01-19
50106.49025225639,2024-01-20
50106.49025225639,2024-01-21
50106.49025225639,2024-01-22
50106.49025225639,2024-01-23
50106.49025225639,2024-01-24
50106.49025225639,2024-01-25
50106.49025225639,2024-01-26
50106.49025225639,2024-01-27
50106.49025225639,2024-01-28
50106.49025225639,2024-01-29
50106.49025225639,2024-01-30
50106.49025225639,2024-01-31
50106.49025225639,2024-02-01
50106.49025225639,2024-02-02
50106.49025225639,2024-02-03
50106.49025225639,2024-02-04
50106.49025225639,2024-02-05
50106.49025225639,2024-02-06
50106.49025225639,2024-02-07
50106.49025225639,2024-02-08
50106.49025225639,2024-02-09
50106.49025225639,2024-02-10
50106.49025225639,2024-02-11
50106.49025225639,2024-02-12
50106.49025225639,2024-02-13
50106.49025225639,2024-02-14
50106.49025225639,2024-02-15
50106.49025225639,2024-02-16
50106.49025225639,2024-02-17
50106.49025225639,2024-02-18
50106.49025225639,2024-02-19
50106.49025225639,2024-02-20
50106.49025225639,2024-02-21
50106.49025225639,2024-02-22
50106.49025225639,2024-02-23
50106.49025225639,2024-02-24
50106.49025225639,2024-02-25
50106.49025225639,2024-02-26
50106.49025225639,2024-02-27
50106.49025225639,2024-02-28
50106.49025225639,2024-02-29
50106.49025225639,2024-03-01
50106.49025225639,2024-03-02
50106.49025225639,2024-03-03
50106.49025225639,2024-03-04
50106.49025225639,2024-03-05
50106.49025225639,2024-03-06
50106.49025225639,2024-03-07
50106.49025225639,2024-03-08
50106.49025225639,2024-03-09
50106.49025225639,2024-03-10
50106.49025225639,2024-03-11
50106.49025225639,2024-03-12
50106.49025225639,2024-03-13
50106.49025225639,2024-03-14
50106.49025225639,2024-03-15
50106.49025225639,2024-03-16
50106.49025225639,2024-03-17
50106.49025225639,2024-03-18
50106.49025225639,2024-03-19
50106.49025225639,2024-03-20
50106.49025225639,2024-03-21
50106.49025225639,2024-03-22
50106.49025225639,2024-03-23
50106.49025225639,2024-03-24
50106.49025225639,2024-03-25
50106.49025225639,2024-03-26
50106.49025225639,2024-03-27
50106.49025225639,2024-03-28
50106.49025225639,2024-03-29
50106.49025225639,2024-03-30
50106.49025225639,2024-03-31
50106.49025225639,2024-04-01
50106.49025225639,2024-04-02
50106.49025225639,2024-04-03
50106.49025225639,2024-04-04
50106.49025225639,2024-04-05
