total_value,asset_value,funds,risk,return,win_rate,trades,positions,date
10064,7207,2857,0.4713,1.0276,0.5033,261,18,2001-06-14
9834,6365,3469,0.4705,0.9794,0.4497,265,17,2001-06-15
9838,5763,4075,0.4664,0.8729,0.3783,269,16,2001-06-18
9886,4680,5206,0.461,0.9903,0.3664,275,13,2001-06-19
9866,3752,6114,0.4555,0.9752,0.3664,281,10,2001-06-20
9892,4158,5734,0.455,1.0191,0.42,283,11,2001-06-21
9902,2939,6963,0.4553,1.0168,0.4276,290,7,2001-06-22
9869,3789,6080,0.4552,0.9583,0.3991,291,9,2001-06-25
9782,4475,5307,0.4522,0.9372,0.3276,292,11,2001-06-26
9861,4790,5071,0.449,1.0093,0.3276,294,12,2001-06-27
9993,5136,4858,0.4547,1.231,0.3812,295,14,2001-06-28
10023,5373,4649,0.4627,1.0101,0.4077,297,15,2001-06-29
10047,5394,4653,0.4709,1.0154,0.4791,300,15,2001-07-02
10051,5567,4485,0.4717,0.9985,0.5029,303,15,2001-07-03
10050,5053,4997,0.472,0.994,0.4838,309,12,2001-07-05
10026,5226,4800,0.4716,0.9971,0.5136,312,12,2001-07-06
9944,5673,4270,0.4716,1.0078,0.5493,314,13,2001-07-09
10013,5760,4253,0.4743,1.0769,0.585,317,13,2001-07-10
9939,6517,3423,0.4773,1.0057,0.6327,318,15,2001-07-11
9926,6005,3920,0.4788,0.9645,0.5755,323,13,2001-07-12
9976,6592,3384,0.4756,0.9337,0.55,325,14,2001-07-13
10032,6169,3863,0.4721,0.9988,0.5679,329,13,2001-07-16
9999,6503,3497,0.4706,1.0235,0.6393,331,14,2001-07-17
10053,7199,2854,0.4716,1.0072,0.675,332,16,2001-07-18
10064,7332,2733,0.4724,0.9933,0.6512,335,16,2001-07-19
10023,7229,2794,0.4731,1.0205,0.6155,337,17,2001-07-20
10047,7460,2587,0.4715,0.9411,0.544,339,18,2001-07-23
9979,8012,1968,0.4703,1,0.5591,339,21,2001-07-24
9902,7532,2370,0.4688,1.0154,0.5591,342,21,2001-07-25
9989,7892,2096,0.4703,1.0299,0.5829,343,23,2001-07-26
10017,8140,1877,0.471,0.976,0.5829,345,24,2001-07-27
10062,7590,2472,0.4703,0.9741,0.5531,349,23,2001-07-30
10026,6314,3712,0.4689,1.0064,0.5055,355,19,2001-07-31
10032,6525,3507,0.469,1.0241,0.5627,356,20,2001-08-01
10023,7131,2892,0.4702,1.005,0.5984,357,22,2001-08-02
9975,7324,2651,0.471,0.9949,0.5805,358,23,2001-08-03
9918,7600,2317,0.4704,0.9807,0.5091,360,24,2001-08-06
9877,7556,2321,0.4673,0.9351,0.4377,363,24,2001-08-07
9823,7299,2524,0.4624,0.939,0.3901,366,24,2001-08-08
9728,6983,2745,0.4576,0.9863,0.3901,368,25,2001-08-09
9762,6258,3504,0.4539,0.9661,0.4139,374,22,2001-08-10
9792,6660,3132,0.4511,0.9651,0.375,375,24,2001-08-13
