total_value,asset_value,funds,risk,return,win_rate,trades,positions,date
17175,12577,4598,0.7176,1.0233,0.7607,4326,9,2006-11-15
17307,14220,3088,0.7202,1.019,0.7607,4327,11,2006-11-16
17335,13399,3936,0.7222,1.0192,0.8083,4331,10,2006-11-17
17344,13952,3391,0.7236,1.0049,0.8083,4334,10,2006-11-20
17414,15275,2139,0.7251,1.02,0.8083,4335,12,2006-11-21
17422,16064,1358,0.726,1.0044,0.8262,4336,14,2006-11-22
17341,15655,1686,0.7266,0.9929,0.7905,4338,15,2006-11-24
17336,15506,1831,0.7258,0.978,0.7619,4340,16,2006-11-27
17079,14339,2739,0.7239,0.9743,0.7262,4344,15,2006-11-28
17159,14511,2648,0.7223,0.9976,0.7024,4347,15,2006-11-29
17231,15357,1874,0.7205,0.9767,0.631,4349,16,2006-11-30
17238,12821,4417,0.7195,0.9945,0.6378,4356,12,2006-12-01
17253,13130,4123,0.7187,1.0053,0.6139,4359,12,2006-12-04
17356,11699,5658,0.7191,1.0113,0.5997,4364,10,2006-12-05
17373,12358,5015,0.7202,1.0168,0.5997,4367,10,2006-12-06
17326,14433,2893,0.7211,1,0.5711,4367,13,2006-12-07
17229,15493,1736,0.7217,1,0.5404,4367,16,2006-12-08
17239,15288,1951,0.722,1.0091,0.5404,4369,17,2006-12-11
17235,14401,2834,0.7213,0.971,0.469,4371,18,2006-12-12
17295,13850,3445,0.7212,1.0171,0.469,4375,17,2006-12-13
17302,13003,4299,0.7202,0.9805,0.4333,4378,17,2006-12-14
17436,14171,3264,0.72,0.9986,0.4333,4379,19,2006-12-15
17335,11061,6273,0.7196,1.0086,0.4779,4387,14,2006-12-18
17173,11872,5302,0.7183,0.953,0.4779,4390,14,2006-12-19
17273,12101,5172,0.7172,1.0049,0.5494,4393,14,2006-12-20
17263,12905,4358,0.7154,0.9899,0.5426,4396,14,2006-12-21
17192,13637,3555,0.7136,0.9527,0.4949,4398,15,2006-12-22
17134,14747,2387,0.7117,1,0.4731,4398,18,2006-12-26
17307,14309,2998,0.7104,1.0079,0.4731,4401,18,2006-12-27
17332,11539,5793,0.7111,1.0129,0.4928,4409,13,2006-12-28
17281,13080,4200,0.7126,1.0261,0.5234,4410,15,2006-12-29
17221,12069,5152,0.7135,0.9887,0.452,4415,13,2007-01-03
17185,13145,4041,0.7139,0.997,0.452,4416,15,2007-01-04
17168,13434,3735,0.7123,0.9657,0.3806,4418,16,2007-01-05
17083,14216,2867,0.711,1,0.4078,4418,19,2007-01-08
17170,12253,4917,0.7101,1.0064,0.4613,4422,18,2007-01-09
17183,10220,6963,0.7101,0.9941,0.4435,4430,13,2007-01-10
17335,9785,7550,0.7114,1.0384,0.5149,4434,12,2007-01-11
17417,11053,6364,0.713,1.0142,0.4971,4438,11,2007-01-12
17465,13260,4205,0.7147,1,0.5088,4438,14,2007-01-16
17514,12822,4692,0.7157,1.0156,0.5802,4441,14,2007-01-17
17532,13852,3680,0.7172,1.0313,0.6163,4443,15,2007-01-18
17356,13770,3586,0.7185,0.9898,0.5686,4446,15,2007-01-19
17412,14191,3222,0.7189,0.9937,0.5061,4448,16,2007-01-22
17265,13517,3748,0.7188,1.0118,0.4823,4451,16,2007-01-23
17369,14038,3331,0.718,0.9699,0.4823,4452,18,2007-01-24
17445,13261,4184,0.717,0.9885,0.5359,4456,17,2007-01-25
17256,13016,4241,0.7152,0.989,0.5597,4459,17,2007-01-26
17296,12723,4573,0.7147,1.0093,0.5682,4463,16,2007-01-29
17284,13232,4052,0.7143,0.9877,0.5147,4466,16,2007-01-30
17371,13083,4288,0.7149,1.0207,0.5117,4469,16,2007-01-31
17552,13777,3774,0.7157,1.0165,0.476,4471,17,2007-02-01
17701,11889,5812,0.7177,1.0251,0.4819,4477,14,2007-02-02
17736,11644,6092,0.7204,1.0408,0.5179,4481,13,2007-02-05
17764,11215,6549,0.723,1.0105,0.5036,4486,11,2007-02-06
17797,10653,7144,0.7254,1.022,0.4857,4490,10,2007-02-07
17800,12590,5210,0.7257,0.9784,0.4619,4491,12,2007-02-08
17792,12537,5255,0.7265,1.0213,0.5333,4493,13,2007-02-09
17627,14297,3330,0.7264,1,0.5238,4493,16,2007-02-12
17555,13197,4358,0.7268,0.9883,0.5238,4496,16,2007-02-13
17573,13907,3666,0.7245,0.9447,0.4702,4498,17,2007-02-14
17687,11832,5855,0.7223,1.0022,0.494,4504,14,2007-02-15
17740,12652,5088,0.7206,1.0014,0.494,4506,15,2007-02-16
17749,10925,6825,0.721,1.0092,0.5536,4512,12,2007-02-20
17814,12450,5364,0.7221,1.0232,0.6012,4514,13,2007-02-21
17860,14439,3421,0.7241,1.0271,0.6369,4515,15,2007-02-22
17832,14367,3465,0.726,1.0089,0.6012,4518,15,2007-02-23
17879,13892,3987,0.7276,1.0119,0.6012,4521,15,2007-02-26
17679,13330,4348,0.728,0.9901,0.5798,4525,14,2007-02-27
17313,12652,4661,0.7266,0.9563,0.5262,4529,13,2007-02-28
17270,13121,4149,0.7233,0.9562,0.5262,4531,14,2007-03-01
17386,11933,5453,0.7192,0.9684,0.4833,4536,12,2007-03-02
17051,10818,6233,0.7148,0.9448,0.4452,4540,11,2007-03-05
17156,12081,5075,0.7112,0.9811,0.4452,4541,13,2007-03-06
17307,10029,7278,0.709,1.0094,0.481,4547,10,2007-03-07
17568,9412,8156,0.71,1.038,0.5048,4552,8,2007-03-08
17650,10007,7643,0.712,1.0152,0.5405,4555,8,2007-03-09
17636,12903,4733,0.7138,1,0.5196,4555,11,2007-03-12
17646,12273,5372,0.7146,1.0096,0.4957,4558,11,2007-03-13
17533,14012,3522,0.7149,1,0.4597,4558,14,2007-03-14
17573,14631,2942,0.7158,1.0163,0.5073,4559,16,2007-03-15
17634,13884,3750,0.7163,0.9993,0.4597,4562,16,2007-03-16
17645,14990,2655,0.7168,1,0.4569,4562,19,2007-03-19
17686,14476,3210,0.7161,0.9793,0.5045,4565,19,2007-03-20
17671,15550,2121,0.7154,1,0.5405,4565,22,2007-03-21
17908,15019,2889,0.7149,1.0044,0.5357,4568,22,2007-03-22
18003,15052,2951,0.716,1.0285,0.6072,4570,23,2007-03-23
18153,14566,3586,0.7212,1.1301,0.6786,4573,23,2007-03-26
18054,15098,2955,0.7281,1.0539,0.6905,4576,23,2007-03-27
17911,16239,1672,0.7331,0.9695,0.6191,4577,25,2007-03-28
17858,16407,1451,0.7342,1.0097,0.6191,4578,27,2007-03-29
17810,16504,1306,0.7334,0.9978,0.6162,4580,28,2007-03-30
17794,15834,1960,0.7334,0.9934,0.5971,4585,26,2007-04-02
18021,13735,4286,0.7336,1.0124,0.6093,4594,20,2007-04-03
18113,13524,4589,0.7342,1.0124,0.5808,4599,18,2007-04-04
18176,14143,4033,0.7356,1.0197,0.5808,4602,18,2007-04-05
18248,13346,4902,0.7369,1.0058,0.5908,4607,16,2007-04-09
18252,13912,4340,0.7389,1.036,0.6146,4610,16,2007-04-10
18377,13532,4845,0.7412,1.0273,0.6321,4614,15,2007-04-11
18377,15778,2599,0.7433,1,0.6535,4614,18,2007-04-12
18550,13927,4623,0.7449,1.0221,0.6433,4621,14,2007-04-13
18646,15423,3223,0.7463,1.0203,0.6433,4623,15,2007-04-16
18930,15394,3536,0.7485,1.0247,0.6671,4626,15,2007-04-17
18840,15436,3403,0.7514,1.0414,0.7385,4629,15,2007-04-18
18933,17382,1551,0.7536,1,0.7198,4629,18,2007-04-19
19084,18008,1076,0.7555,1.0164,0.7556,4630,20,2007-04-20
19183,17123,2060,0.7568,1.025,0.7746,4633,20,2007-04-23
19147,16258,2889,0.7587,1.0153,0.778,4640,16,2007-04-24
19200,16679,2521,0.7602,1.0049,0.8066,4643,16,2007-04-25
19231,17347,1884,0.761,1.0025,0.8185,4645,17,2007-04-26
19318,18549,769,0.7612,1,0.8341,4645,20,2007-04-27
19325,17992,1333,0.7617,1.0113,0.8341,4648,20,2007-04-30
19273,18679,594,0.762,1,0.8401,4648,23,2007-05-01
19435,17954,1482,0.7645,1.0627,0.8485,4652,22,2007-05-02
19600,17016,2584,0.7667,1.0056,0.8349,4658,19,2007-05-03
19711,17440,2271,0.7695,1.0156,0.8206,4663,17,2007-05-04
19781,16547,3234,0.771,1.0255,0.8028,4671,12,2007-05-07
19796,16971,2824,0.7726,1.0081,0.779,4674,12,2007-05-08
19781,15523,4259,0.7744,1.0186,0.7976,4679,10,2007-05-09
19842,17877,1965,0.7732,0.9393,0.7262,4680,12,2007-05-10
19661,18114,1547,0.7713,0.9861,0.6786,4681,14,2007-05-11
19834,17889,1945,0.769,1.0056,0.6752,4684,14,2007-05-14
19793,16042,3751,0.7695,1.0225,0.6752,4688,13,2007-05-15
19709,16881,2828,0.77,0.9876,0.6395,4689,15,2007-05-16
19716,16316,3399,0.7702,0.995,0.6286,4692,15,2007-05-17
19803,16908,2896,0.7702,1.0167,0.5929,4694,16,2007-05-18
19889,14745,5144,0.7713,1.0215,0.5929,4700,13,2007-05-21
19950,16059,3891,0.7727,1.0058,0.575,4702,14,2007-05-22
19926,15087,4839,0.774,1.0124,0.5845,4707,12,2007-05-23
19889,15884,4005,0.7738,0.9739,0.5274,4709,13,2007-05-24
19673,16039,3633,0.7725,0.9763,0.4738,4710,15,2007-05-25
19817,14365,5452,0.7714,1.0178,0.4619,4714,14,2007-05-29
19794,14845,4949,0.7711,0.9952,0.3905,4716,15,2007-05-30
19994,11797,8198,0.772,1.0134,0.4476,4721,12,2007-05-31
20043,12578,7465,0.7727,1.0125,0.4952,4724,12,2007-06-01
20026,10645,9381,0.7737,1.0062,0.4986,4731,8,2007-06-04
20125,12494,7630,0.7746,1.0077,0.4629,4733,9,2007-06-05
20124,14343,5781,0.7751,1.0006,0.5344,4734,11,2007-06-06
20063,16598,3466,0.7753,1,0.5249,4734,14,2007-06-07
19776,16558,3218,0.7748,0.9823,0.4892,4735,16,2007-06-08
19935,16584,3352,0.7735,0.9803,0.4654,4737,17,2007-06-11
19894,15503,4391,0.7719,0.9883,0.4654,4739,18,2007-06-12
19899,14649,5251,0.7702,0.9819,0.4082,4743,17,2007-06-13
19994,13442,6552,0.7695,1.0094,0.4511,4748,15,2007-06-14
20206,14389,5817,0.7701,1.0252,0.5225,4751,15,2007-06-15
20158,15607,4550,0.7715,1.0095,0.5582,4753,16,2007-06-18
20080,15838,4242,0.7732,1.0147,0.6059,4756,16,2007-06-19
20297,16453,3845,0.7741,1.0027,0.5725,4759,16,2007-06-20
20047,16468,3579,0.7753,1.02,0.5487,4762,16,2007-06-21
20141,17337,2803,0.7774,1.041,0.5691,4763,18,2007-06-22
20072,16936,3136,0.7805,1.0343,0.581,4766,18,2007-06-25
20021,17429,2592,0.783,0.9983,0.5096,4767,20,2007-06-26
19714,17076,2639,0.784,1.0003,0.5071,4769,21,2007-06-27
19941,15565,4375,0.7835,0.9838,0.5214,4774,19,2007-06-28
20020,13639,6381,0.7823,0.9827,0.5163,4781,15,2007-06-29
19931,15002,4929,0.7806,0.9808,0.4806,4783,16,2007-07-02
20075,13565,6509,0.7796,1.008,0.5092,4788,14,2007-07-03
20067,14942,5125,0.7792,0.9975,0.502,4790,15,2007-07-05
20049,15731,4318,0.7809,1.0482,0.502,4792,16,2007-07-06
20116,15320,4796,0.7831,1.0214,0.4842,4796,15,2007-07-09
20100,15859,4241,0.7859,1.0143,0.508,4798,16,2007-07-10
20006,15926,4080,0.7861,0.9697,0.4842,4800,17,2007-07-11
20190,16383,3808,0.7854,0.9967,0.4961,4802,18,2007-07-12
20299,14402,5897,0.7847,1.0109,0.4842,4808,15,2007-07-13
20408,13721,6687,0.7857,1.0243,0.4901,4812,14,2007-07-16
20456,14581,5874,0.7871,1.0043,0.5139,4815,14,2007-07-17
20305,14883,5423,0.7878,0.9927,0.502,4818,14,2007-07-18
20343,15260,5083,0.7874,0.991,0.4878,4821,14,2007-07-19
20313,16014,4300,0.7887,1.057,0.4929,4823,15,2007-07-20
20075,16780,3295,0.7872,0.9074,0.4929,4824,17,2007-07-23
19920,16258,3662,0.7857,0.9896,0.4643,4826,18,2007-07-24
19837,14952,4885,0.7807,0.9588,0.4286,4830,17,2007-07-25
19589,10943,8645,0.7777,0.9616,0.373,4839,11,2007-07-26
19473,11623,7851,0.7739,0.9673,0.3194,4842,11,2007-07-27
19179,12100,7079,0.7697,0.9498,0.248,4844,12,2007-07-30
19344,10680,8664,0.7653,0.9527,0.2718,4847,12,2007-07-31
19070,11653,7417,0.7615,0.9847,0.2361,4848,14,2007-08-01
19235,9996,9239,0.7586,0.9786,0.1909,4853,12,2007-08-02
19307,10402,8905,0.7563,0.9683,0.1373,4854,14,2007-08-03
19101,7813,11288,0.7532,0.9611,0.1135,4859,12,2007-08-06
19226,8415,10810,0.7515,1.0202,0.1611,4860,14,2007-08-07
19313,9500,9813,0.7528,1.0584,0.2325,4861,16,2007-08-08
19191,8353,10839,0.7552,0.9939,0.2111,4866,14,2007-08-09
18979,8803,10177,0.7513,0.832,0.2111,4867,16,2007-08-10
19041,9917,9124,0.746,1.0197,0.2825,4868,18,2007-08-13
18990,11112,7878,0.7399,0.9721,0.3183,4870,19,2007-08-14
18692,11993,6700,0.7379,0.9471,0.3024,4872,20,2007-08-15
18604,11837,6767,0.7347,0.9875,0.3262,4875,20,2007-08-16
18982,12300,6683,0.7335,1.0274,0.3976,4878,20,2007-08-17
18844,8958,9886,0.7333,0.9795,0.3976,4890,11,2007-08-20
18811,10565,8246,0.7316,0.9445,0.4214,4893,11,2007-08-21
18965,13197,5768,0.7291,1,0.4372,4893,14,2007-08-22
19104,15086,4018,0.7272,1,0.4685,4893,17,2007-08-23
18978,16280,2698,0.7272,1,0.5019,4893,20,2007-08-24
19142,16084,3058,0.7281,1.0282,0.4662,4895,21,2007-08-27
18933,16518,2415,0.7316,1.0782,0.4662,4896,23,2007-08-28
18686,16637,2049,0.7327,0.9249,0.4519,4897,25,2007-08-29
18788,17081,1707,0.7319,0.9733,0.4519,4898,27,2007-08-30
18970,17425,1545,0.7269,0.9577,0.3805,4899,29,2007-08-31
18972,17768,1204,0.7246,1,0.372,4899,32,2007-09-04
18928,16955,1973,0.7241,1.027,0.4196,4902,32,2007-09-05
18799,12631,6168,0.7247,0.9906,0.4196,4911,26,2007-09-06
18692,11214,7478,0.7249,0.9883,0.3696,4921,19,2007-09-07
18696,12980,5716,0.7222,0.9404,0.3458,4922,21,2007-09-10
18653,13131,5522,0.7181,0.9521,0.322,4926,20,2007-09-11
18745,14275,4470,0.7128,0.9515,0.2919,4927,22,2007-09-12
18857,11397,7460,0.7103,1.023,0.3219,4934,18,2007-09-13
18763,12946,5818,0.7094,1,0.3114,4934,21,2007-09-14
18759,14141,4618,0.7102,1,0.2979,4934,24,2007-09-17
18833,13023,5810,0.7093,0.9749,0.2444,4938,23,2007-09-18
19174,12951,6222,0.7097,1.0343,0.3158,4941,23,2007-09-19
19285,12891,6394,0.7142,1.1315,0.3872,4944,23,2007-09-20
19219,13736,5483,0.7196,1.0009,0.4586,4945,25,2007-09-21
19270,15109,4161,0.7244,1.0153,0.5029,4946,27,2007-09-24
19174,15738,3436,0.7249,0.9973,0.491,4948,28,2007-09-25
19261,15885,3376,0.7266,1.0391,0.5386,4950,29,2007-09-26
19398,16657,2740,0.73,1.0688,0.5886,4952,30,2007-09-27
19359,17722,1637,0.7336,1,0.6306,4952,33,2007-09-28
19381,16421,2960,0.7364,1.018,0.6783,4958,30,2007-10-01
19580,16769,2810,0.7384,1.0419,0.7497,4962,29,2007-10-02
19491,16602,2889,0.7407,1.0106,0.7313,4967,27,2007-10-03
19555,17660,1895,0.7438,1.0403,0.7798,4968,29,2007-10-04
19663,17765,1898,0.7458,1.0111,0.8289,4972,28,2007-10-05
19806,17043,2763,0.7486,1.0341,0.8723,4979,24,2007-10-08
19882,18422,1460,0.7509,1.0221,0.8723,4981,25,2007-10-09
19988,16733,3255,0.7539,1.036,0.8644,4990,19,2007-10-10
20180,17174,3006,0.7575,1.0521,0.8525,4996,16,2007-10-11
20046,18361,1685,0.76,0.9876,0.781,4997,18,2007-10-12
20197,16531,3665,0.7617,1.0112,0.781,5003,15,2007-10-15
19948,17759,2188,0.7612,0.9862,0.7096,5004,17,2007-10-16
20094,17892,2202,0.7618,1.023,0.6858,5007,17,2007-10-17
19988,17006,2981,0.7627,1.0182,0.6914,5010,17,2007-10-18
20096,16750,3345,0.7647,1.017,0.7152,5013,17,2007-10-19
19678,15668,4010,0.7649,0.9734,0.654,5020,13,2007-10-22
20095,16526,3568,0.7644,0.9936,0.6587,5023,13,2007-10-23
20037,14161,5876,0.764,1.0195,0.623,5029,10,2007-10-24
20282,15566,4716,0.7644,1.001,0.5992,5032,10,2007-10-25
20641,15251,5390,0.7678,1.0819,0.5856,5035,10,2007-10-26
20859,14968,5892,0.7719,1.043,0.5856,5038,10,2007-10-29
20654,13148,7506,0.7763,1.0116,0.565,5043,8,2007-10-30
20777,11450,9328,0.778,0.9973,0.5483,5048,6,2007-10-31
20896,9664,11233,0.7787,1.0105,0.6054,5053,4,2007-11-01
20818,13295,7524,0.7797,1.0217,0.6412,5054,6,2007-11-02
20465,16593,3872,0.7807,1,0.687,5054,9,2007-11-05
20567,16264,4303,0.7809,0.984,0.6631,5057,9,2007-11-06
20494,16802,3692,0.7808,1.013,0.6512,5059,10,2007-11-07
19804,16280,3524,0.7753,0.8419,0.6155,5061,11,2007-11-08
19392,14512,4880,0.7697,0.9821,0.6291,5064,11,2007-11-09
19270,14860,4410,0.7627,0.9736,0.5815,5067,11,2007-11-12
18961,16406,2555,0.7613,1,0.5873,5067,14,2007-11-13
19557,12952,6605,0.7602,0.9952,0.5754,5075,9,2007-11-14
19342,13086,6255,0.7594,0.9804,0.5278,5078,9,2007-11-15
19449,13320,6129,0.7577,0.9743,0.4802,5081,9,2007-11-16
19504,14667,4837,0.7562,1.0,0.4373,5082,11,2007-11-19
19559,16303,3256,0.7553,1,0.4257,5082,14,2007-11-20
19319,14698,4621,0.7551,0.9934,0.4162,5085,14,2007-11-21
19509,14672,4838,0.7554,1.0164,0.4162,5087,15,2007-11-23
19497,15259,4238,0.7533,0.9278,0.3704,5088,17,2007-11-26
19485,14666,4819,0.7504,0.9682,0.3466,5092,16,2007-11-27
19617,16014,3603,0.7468,1,0.3356,5092,19,2007-11-28
19746,15544,4202,0.7462,1.0113,0.3475,5095,19,2007-11-29
20159,15054,5105,0.7513,1.1477,0.3951,5097,20,2007-11-30
19987,16381,3606,0.7565,1,0.4234,5097,23,2007-12-03
19843,17006,2837,0.7607,0.9827,0.3818,5098,25,2007-12-04
20067,16939,3128,0.7615,1.0406,0.4176,5100,26,2007-12-05
20170,16897,3273,0.763,1.0208,0.489,5101,28,2007-12-06
20376,16554,3822,0.7663,1.0412,0.5366,5104,28,2007-12-07
20403,17768,2635,0.7693,1.028,0.608,5105,30,2007-12-10
20494,18795,1699,0.7756,1.1245,0.6482,5106,32,2007-12-11
20382,19226,1156,0.7813,1.0252,0.672,5107,34,2007-12-12
20065,18842,1223,0.7857,0.9836,0.6244,5110,34,2007-12-13
20141,19092,1049,0.7853,0.9809,0.6244,5112,35,2007-12-14
19888,18270,1617,0.7833,0.9756,0.6423,5116,34,2007-12-17
19878,17594,2284,0.7805,0.9604,0.6318,5121,32,2007-12-18
19922,16728,3194,0.7775,0.9763,0.5931,5129,27,2007-12-19
20033,15306,4727,0.7755,1.003,0.5574,5139,20,2007-12-20
20308,14657,5651,0.7761,1.0382,0.6006,5144,18,2007-12-21
20303,14642,5660,0.7772,0.993,0.6312,5151,14,2007-12-24
20370,15853,4517,0.7786,1.0109,0.6312,5154,14,2007-12-26
20403,16136,4268,0.7802,1.0436,0.6312,5157,14,2007-12-27
20305,18029,2277,0.782,1,0.6049,5157,17,2007-12-28
20231,18995,1236,0.7834,1,0.5766,5157,20,2007-12-31
20076,19093,983,0.7832,0.9948,0.5052,5158,22,2008-01-02
19767,18159,1608,0.7828,0.9911,0.4695,5160,23,2008-01-03
19513,15875,3638,0.7803,0.9395,0.4457,5163,23,2008-01-04
19278,13969,5309,0.7774,0.9856,0.4814,5169,20,2008-01-07
19093,11161,7932,0.7738,0.9669,0.4921,5179,13,2008-01-08
18610,10536,8074,0.7688,0.9021,0.4778,5186,9,2008-01-09
18606,13363,5243,0.7643,1,0.503,5186,12,2008-01-10
18653,13214,5439,0.7596,0.959,0.4673,5189,12,2008-01-11
18874,14569,4305,0.7599,1.05,0.4673,5190,14,2008-01-14
18792,14905,3887,0.7624,1.0666,0.5081,5192,15,2008-01-15
18760,15346,3415,0.7652,0.9695,0.4367,5193,17,2008-01-16
18857,15099,3759,0.7655,0.9725,0.3653,5195,18,2008-01-17
18630,15420,3210,0.7621,0.9576,0.3202,5196,20,2008-01-18
17757,15258,2500,0.7597,1,0.2999,5196,23,2008-01-22
17753,11002,6751,0.7556,0.9215,0.2999,5206,16,2008-01-23
18465,11773,6692,0.7541,1.0339,0.288,5209,16,2008-01-24
18507,11609,6899,0.7514,0.9642,0.3118,5212,16,2008-01-25
18239,11171,7068,0.7493,0.9393,0.276,5215,16,2008-01-28
18657,13026,5631,0.746,1,0.2672,5215,19,2008-01-29
18706,11434,7272,0.7475,1.1053,0.3386,5218,19,2008-01-30
18416,12618,5798,0.7455,0.8361,0.3045,5219,21,2008-01-31
19102,14549,4553,0.7436,1,0.3262,5219,24,2008-02-01
19372,14466,4905,0.7514,1.4097,0.3262,5222,24,2008-02-04
18862,15078,3784,0.7642,1,0.2781,5222,27,2008-02-05
18713,15701,3013,0.777,1,0.298,5222,30,2008-02-06
18294,15200,3094,0.7752,0.9445,0.298,5224,31,2008-02-07
18521,15433,3089,0.772,0.9608,0.298,5226,32,2008-02-08
18488,14739,3749,0.7673,0.957,0.2751,5229,32,2008-02-11
18769,12619,6150,0.7644,0.9964,0.2989,5238,26,2008-02-12
18872,12730,6142,0.7628,1.0,0.3227,5241,26,2008-02-13
18955,11685,7270,0.7627,0.9993,0.3346,5249,21,2008-02-14
18685,12457,6227,0.7629,1.0075,0.4061,5251,22,2008-02-15
18938,14612,4326,0.7631,1,0.4154,5251,25,2008-02-19
18627,15271,3356,0.7617,0.9494,0.3439,5252,27,2008-02-20
18969,14973,3996,0.7599,0.9973,0.3796,5256,26,2008-02-21
18711,15116,3595,0.7562,0.9464,0.3579,5258,27,2008-02-22
18763,15940,2823,0.7541,0.9937,0.2865,5259,29,2008-02-25
18906,14728,4178,0.752,0.9972,0.2917,5264,27,2008-02-26
18965,14991,3974,0.7522,1.0143,0.3433,5266,28,2008-02-27
18905,14392,4512,0.7547,1.0647,0.379,5270,27,2008-02-28
18679,14760,3919,0.7564,0.9738,0.379,5272,28,2008-02-29
18482,14509,3973,0.7573,0.9884,0.4028,5275,28,2008-03-03
18384,15064,3319,0.7569,1.0262,0.4504,5276,30,2008-03-04
18481,15027,3454,0.7562,0.9647,0.4207,5280,29,2008-03-05
18434,13328,5106,0.7548,0.9656,0.385,5288,24,2008-03-06
18014,10292,7722,0.7514,0.9701,0.3265,5299,16,2008-03-07
18002,9537,8464,0.7482,0.9704,0.3094,5305,13,2008-03-10
18092,8391,9700,0.7461,0.9968,0.357,5311,10,2008-03-11
18181,11018,7163,0.745,1,0.3468,5311,13,2008-03-12
18028,10308,7720,0.7447,0.9946,0.3647,5315,12,2008-03-13
18329,11580,6749,0.7458,1.0379,0.4361,5316,13,2008-03-14
17776,10787,6989,0.7459,0.9717,0.4075,5320,12,2008-03-17
18124,13181,4943,0.7463,1,0.3652,5320,15,2008-03-18
18355,14084,4271,0.744,0.9626,0.3295,5321,17,2008-03-19
18094,14825,3269,0.7428,1,0.353,5321,20,2008-03-20
18343,13964,4379,0.7421,1.0182,0.353,5324,20,2008-03-24
18616,14529,4087,0.7422,0.9848,0.2816,5325,22,2008-03-25
18513,14428,4085,0.7465,1.1275,0.3352,5326,24,2008-03-26
18444,14536,3908,0.7494,0.9751,0.3352,5327,26,2008-03-27
18247,15302,2945,0.7527,1,0.3461,5327,29,2008-03-28
18004,15265,2739,0.7494,0.9276,0.3342,5328,31,2008-03-31
18300,15291,3009,0.7443,0.923,0.2866,5330,32,2008-04-01
18751,15513,3238,0.7396,1.0118,0.3325,5332,33,2008-04-02
18599,14342,4256,0.7379,1.013,0.3683,5336,32,2008-04-03
18765,15028,3737,0.7392,1.0151,0.3325,5338,33,2008-04-04
18885,14712,4173,0.7417,1.0469,0.404,5341,33,2008-04-07
18755,14313,4441,0.7462,1.0779,0.4463,5345,32,2008-04-08
18806,15494,3312,0.7527,1.077,0.5177,5346,34,2008-04-09
18535,16249,2286,0.7545,0.8977,0.4942,5347,36,2008-04-10
18512,15747,2764,0.7528,0.9751,0.4847,5352,34,2008-04-11
18354,15515,2839,0.7458,0.9238,0.4847,5355,34,2008-04-14
18473,14089,4384,0.7427,1.0097,0.4489,5361,30,2008-04-15
18593,14402,4191,0.741,1.0155,0.4847,5365,29,2008-04-16
18783,12016,6768,0.7426,1.0247,0.5163,5374,22,2008-04-17
18963,12991,5972,0.7467,1.0854,0.5734,5379,20,2008-04-18
18876,13271,5605,0.75,0.9914,0.621,5385,17,2008-04-21
18724,15052,3672,0.7564,1.119,0.621,5387,18,2008-04-22
18596,15720,2876,0.7628,1.0896,0.6389,5388,20,2008-04-23
18663,16632,2031,0.7705,1.0323,0.6389,5390,21,2008-04-24
18943,16484,2459,0.7699,0.8602,0.5675,5391,22,2008-04-25
19124,17012,2111,0.7717,1.1598,0.5675,5392,24,2008-04-28
19066,17790,1276,0.7723,1,0.5366,5392,27,2008-04-29
19008,17572,1435,0.7796,1.0662,0.608,5393,28,2008-04-30
18843,17155,1688,0.7818,1.0018,0.6294,5395,28,2008-05-01
19105,15392,3713,0.7836,0.9857,0.6702,5402,23,2008-05-02
19048,14523,4526,0.7839,1.02,0.6792,5410,18,2008-05-05
19145,14936,4209,0.7844,1.0103,0.672,5415,16,2008-05-06
18885,15945,2940,0.7872,1.0554,0.6879,5417,17,2008-05-07
18680,15882,2798,0.7883,0.9661,0.6546,5420,17,2008-05-08
18604,16690,1915,0.7885,0.9869,0.6069,5421,19,2008-05-09
18677,16482,2194,0.7876,1.0196,0.5831,5424,19,2008-05-12
18823,14807,4016,0.7877,0.9963,0.5546,5429,17,2008-05-13
18882,15207,3675,0.7898,1.0456,0.5903,5430,18,2008-05-14
18872,15363,3510,0.7908,0.9901,0.6141,5433,18,2008-05-15
19124,12981,6143,0.793,1.0301,0.6062,5442,12,2008-05-16
19085,15841,3244,0.7937,1,0.6089,5442,15,2008-05-19
18930,13278,5653,0.7953,1.0186,0.5681,5449,11,2008-05-20
19041,14911,4130,0.7976,1.052,0.6038,5450,13,2008-05-21
18520,16324,2196,0.7999,1,0.6061,5450,16,2008-05-22
18567,16409,2158,0.8001,0.9528,0.5615,5452,17,2008-05-23
18350,16022,2328,0.7972,0.9631,0.5686,5454,18,2008-05-27
18534,11261,7273,0.7936,0.9764,0.5061,5462,12,2008-05-28
18765,9868,8896,0.7929,1.0399,0.5537,5467,9,2008-05-29
18824,10596,8229,0.794,1.0161,0.6014,5470,9,2008-05-30
19003,12456,6547,0.7971,1.039,0.6252,5474,8,2008-06-02
19104,13697,5407,0.7994,1.0143,0.6299,5477,8,2008-06-03
18890,15255,3635,0.8013,1.0036,0.6299,5478,10,2008-06-04
19007,16215,2793,0.8027,1.0248,0.6776,5479,12,2008-06-05
19373,15382,3991,0.8047,1.0328,0.6855,5483,11,2008-06-06
19079,15885,3195,0.8065,0.9985,0.666,5486,11,2008-06-09
18734,17225,1508,0.8076,1,0.683,5486,14,2008-06-10
18746,16866,1880,0.8056,0.9437,0.6115,5487,15,2008-06-11
18578,14300,4279,0.8018,0.9433,0.5684,5491,13,2008-06-12
