total_value,asset_value,funds,return,win_rate,risk_tolerance,trades,positions,date
10481,8633,1848,1.0,0.6184,0.4451,256,77,2024-02-21
10549,8701,1848,1.0,0.623,0.4506,256,77,2024-02-22
10617,8929,1688,1.0,0.6275,0.453,256,78,2024-02-23
10639,8951,1688,1.0,0.6724,0.4553,256,78,2024-02-26
10645,8929,1717,0.9863,0.6349,0.4575,257,77,2024-02-27
10596,8879,1717,1.0,0.64,0.4596,257,77,2024-02-28
10633,8888,1745,1.0652,0.6043,0.4625,259,76,2024-02-29
10648,8887,1762,1.0053,0.6301,0.463,260,76,2024-03-01
10722,8961,1762,1.0,0.6286,0.4636,260,76,2024-03-04
10724,8962,1762,1.0,0.6263,0.4642,260,76,2024-03-05
10810,9161,1649,1.0,0.6255,0.4647,260,77,2024-03-06
10862,9213,1649,1.0,0.5988,0.4653,260,77,2024-03-07
10867,9218,1649,1.0,0.5959,0.4659,260,77,2024-03-08
10772,9237,1535,1.0,0.5947,0.4664,260,78,2024-03-11
10809,9274,1535,1.0,0.5931,0.4671,260,78,2024-03-12
10818,9124,1694,1.0912,0.5847,0.4687,262,77,2024-03-13
10856,9162,1694,1.0,0.5819,0.4697,262,77,2024-03-14
10721,9028,1694,1.0,0.5787,0.4706,262,77,2024-03-15
10836,9142,1694,1.0,0.62,0.4715,262,77,2024-03-18
10828,9134,1694,1.0,0.6189,0.4724,262,77,2024-03-19
10875,9181,1694,1.0,0.6274,0.4733,262,77,2024-03-20
11046,9296,1750,1.9314,0.6274,0.4831,263,77,2024-03-21
11098,9507,1592,1.0,0.6272,0.4928,263,78,2024-03-22
11027,9435,1592,1.0,0.6271,0.5025,263,78,2024-03-25
11014,9710,1304,1.0,0.6272,0.5123,263,80,2024-03-26
11030,0,11030,1.2196,0.6468,0.5232,343,0,2024-03-27
